index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.532,0.4793733228959968,1339.86292552948,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_cobyla at 0x7f0a57613940>,<function get_zfeaturemap at 0x7f0a8fa6e3a0>,full,,264,pca
1,0.524,0.4844784783723109,1265.3865232467651,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_cobyla at 0x7f0a57613940>,<function get_zfeaturemap at 0x7f0a8fa6e3a0>,linear,,265,pca
2,0.532,0.5206902522764592,809.2333538532257,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_cobyla at 0x7f0a57613940>,<function get_zfeaturemap at 0x7f0a8fa6e3a0>,circular,,171,pca
3,0.508,0.45579592944369063,935.16082072258,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_cobyla at 0x7f0a57613940>,<function get_zfeaturemap at 0x7f0a8fa6e3a0>,sca,,199,pca
4,0.54,0.5395804195804195,1491.824925661087,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_cobyla at 0x7f0a57613940>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,full,full,203,pca
5,0.512,0.47767073766487544,1591.3540651798248,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_cobyla at 0x7f0a57613940>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,full,linear,279,pca
6,0.56,0.5601977401129943,1027.9908564090729,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_cobyla at 0x7f0a57613940>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,full,circular,175,pca
7,0.5,0.4819672131147541,1118.646002292633,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_cobyla at 0x7f0a57613940>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,full,pairwise,197,pca
8,0.524,0.5244801844646203,1037.5098638534546,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_cobyla at 0x7f0a57613940>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,full,sca,176,pca
9,0.524,0.5244190476190477,1434.6462292671204,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_cobyla at 0x7f0a57613940>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,linear,full,207,pca
10,0.512,0.5086727272727274,1320.0317406654358,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_cobyla at 0x7f0a57613940>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,linear,linear,244,pca
