index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.324,0.2290513595166163,3352.35258769989,<function get_efficientsu2 at 0x7feb42761d30>,<function get_neldermead at 0x7feb114e9280>,<function get_zfeaturemap at 0x7feb498d71f0>,full,,663,pca
1,0.24,0.20593548387096774,2857.014400243759,<function get_efficientsu2 at 0x7feb42761d30>,<function get_neldermead at 0x7feb114e9280>,<function get_zfeaturemap at 0x7feb498d71f0>,linear,,601,pca
2,0.524,0.47349362279511537,4774.135548114777,<function get_efficientsu2 at 0x7feb42761d30>,<function get_neldermead at 0x7feb114e9280>,<function get_zfeaturemap at 0x7feb498d71f0>,circular,,1000,pca
3,0.536,0.38520000000000004,4716.0331881046295,<function get_efficientsu2 at 0x7feb42761d30>,<function get_neldermead at 0x7feb114e9280>,<function get_zfeaturemap at 0x7feb498d71f0>,sca,,1000,pca
4,0.468,0.4666284927383068,7388.102048873901,<function get_efficientsu2 at 0x7feb42761d30>,<function get_neldermead at 0x7feb114e9280>,<function get_zzfeaturemap at 0x7feb498d7280>,full,full,1000,pca
5,0.572,0.55034808904683,5731.0938267707825,<function get_efficientsu2 at 0x7feb42761d30>,<function get_neldermead at 0x7feb114e9280>,<function get_zzfeaturemap at 0x7feb498d7280>,full,linear,1000,pca
6,0.376,0.36758823529411766,5916.816433429718,<function get_efficientsu2 at 0x7feb42761d30>,<function get_neldermead at 0x7feb114e9280>,<function get_zzfeaturemap at 0x7feb498d7280>,full,circular,1000,pca
7,0.576,0.5569955857385398,5792.405063867569,<function get_efficientsu2 at 0x7feb42761d30>,<function get_neldermead at 0x7feb114e9280>,<function get_zzfeaturemap at 0x7feb498d7280>,full,pairwise,1000,pca
8,0.396,0.3800962042630799,5857.783412694931,<function get_efficientsu2 at 0x7feb42761d30>,<function get_neldermead at 0x7feb114e9280>,<function get_zzfeaturemap at 0x7feb498d7280>,full,sca,1000,pca
9,0.536,0.5363564432494718,7035.050713062286,<function get_efficientsu2 at 0x7feb42761d30>,<function get_neldermead at 0x7feb114e9280>,<function get_zzfeaturemap at 0x7feb498d7280>,linear,full,1000,pca
10,0.572,0.5486078078078078,4922.093530654907,<function get_efficientsu2 at 0x7feb42761d30>,<function get_neldermead at 0x7feb114e9280>,<function get_zzfeaturemap at 0x7feb498d7280>,linear,linear,908,pca
11,0.388,0.38853877551020405,5549.469939231873,<function get_efficientsu2 at 0x7feb42761d30>,<function get_neldermead at 0x7feb114e9280>,<function get_zzfeaturemap at 0x7feb498d7280>,linear,circular,1000,pca
