index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.468,0.4578162932185784,5143.045815944672,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zfeaturemap at 0x7fee8f5c01f0>,full,,1000,pca
1,0.476,0.46190146258673187,4789.813482046127,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zfeaturemap at 0x7fee8f5c01f0>,linear,,1000,pca
2,0.496,0.4909718309859155,4783.417808532715,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zfeaturemap at 0x7fee8f5c01f0>,circular,,1000,pca
3,0.464,0.46108185883725444,4773.6043083667755,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zfeaturemap at 0x7fee8f5c01f0>,sca,,1000,pca
4,0.584,0.5843202258002438,7443.057211637497,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,full,1000,pca
5,0.496,0.49180245949638884,5762.975579500198,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,linear,1000,pca
6,0.568,0.5681941448382126,5902.475747585297,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,circular,1000,pca
7,0.496,0.49180245949638884,5758.017347574234,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,pairwise,1000,pca
8,0.528,0.5284838234351977,5955.956433534622,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,sca,1000,pca
9,0.496,0.4944501249279262,7196.216568946838,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,full,1000,pca
10,0.516,0.5123428070004387,5430.2183701992035,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,linear,1000,pca
11,0.544,0.544,5562.828138113022,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,circular,1000,pca
12,0.524,0.5238699265403224,5480.369241952896,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,pairwise,1000,pca
13,0.48,0.47716896752867977,5539.773326396942,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,sca,1000,pca
14,0.508,0.5084331332533013,7062.674317598343,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,full,1000,pca
15,0.556,0.5543854545454545,5468.4928505420685,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,linear,1000,pca
16,0.524,0.5244801844646203,5500.8891518116,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,circular,1000,pca
17,0.524,0.5244196925247278,5396.325710058212,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,pairwise,1000,pca
18,0.508,0.5075512313773183,5517.217924356461,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,sca,1000,pca
19,0.52,0.5179813664596273,7006.626188516617,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,full,1000,pca
20,0.496,0.496,5391.21569609642,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,linear,1000,pca
21,0.504,0.504,5481.1015112400055,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,circular,1000,pca
22,0.472,0.4725071721311475,5390.136351585388,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,pairwise,1000,pca
23,0.556,0.5562778071906436,5482.0314202308655,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_neldermead at 0x7fee571d3280>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,sca,1000,pca
