index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.452,0.43399681694057735,5119.752518415451,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zfeaturemap at 0x7fdf575941f0>,full,,1000,pca
1,0.544,0.5425861378463924,4736.857887983322,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zfeaturemap at 0x7fdf575941f0>,linear,,1000,pca
2,0.48,0.48049948770491807,4783.15602684021,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zfeaturemap at 0x7fdf575941f0>,circular,,1000,pca
3,0.54,0.5234098360655737,4705.306319952011,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zfeaturemap at 0x7fdf575941f0>,sca,,1000,pca
4,0.524,0.5241146527498997,7467.877118587494,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zzfeaturemap at 0x7fdf57594280>,full,full,1000,pca
5,0.52,0.5124334975369458,5838.515334367752,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zzfeaturemap at 0x7fdf57594280>,full,linear,1000,pca
6,0.532,0.5315707043885481,5920.907417058945,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zzfeaturemap at 0x7fdf57594280>,full,circular,1000,pca
7,0.488,0.4852125218743924,5796.3993673324585,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zzfeaturemap at 0x7fdf57594280>,full,pairwise,1000,pca
8,0.548,0.5475877166311948,5954.530628919601,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zzfeaturemap at 0x7fdf57594280>,full,sca,1000,pca
9,0.496,0.4964846153846154,7128.998164176941,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,full,1000,pca
10,0.508,0.500762688794503,5416.217717885971,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,linear,1000,pca
11,0.484,0.4841242874347651,5616.417726993561,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,circular,1000,pca
12,0.5,0.49264500893750307,5475.9042110443115,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,pairwise,1000,pca
13,0.56,0.5603387003656425,5525.320822954178,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,sca,1000,pca
14,0.532,0.5322920740586644,7181.590611219406,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_neldermead at 0x7fdf1f1a4280>,<function get_zzfeaturemap at 0x7fdf57594280>,circular,full,1000,pca
