index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.896,0.8947765505522516,1779.2195882797241,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zfeaturemap at 0x7fb54f30d3a0>,full,,351,pca
1,0.868,0.8657753662506783,1645.9058110713959,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zfeaturemap at 0x7fb54f30d3a0>,linear,,351,pca
2,0.872,0.8690747217806042,1657.396748304367,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zfeaturemap at 0x7fb54f30d3a0>,circular,,351,pca
3,0.848,0.8436933333333334,1651.8251252174377,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zfeaturemap at 0x7fb54f30d3a0>,sca,,351,pca
4,0.644,0.6422883229994658,2569.519109725952,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zzfeaturemap at 0x7fb54f30d430>,full,full,351,pca
5,0.652,0.6461350564790609,1996.0936081409454,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zzfeaturemap at 0x7fb54f30d430>,full,linear,351,pca
6,0.6,0.5849066774476114,2052.5557911396027,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zzfeaturemap at 0x7fb54f30d430>,full,circular,351,pca
7,0.664,0.6593993710691822,2009.291580438614,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zzfeaturemap at 0x7fb54f30d430>,full,pairwise,351,pca
8,0.668,0.6631162859345022,2056.1193692684174,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zzfeaturemap at 0x7fb54f30d430>,full,sca,351,pca
9,0.732,0.7223344262295082,2449.0184137821198,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zzfeaturemap at 0x7fb54f30d430>,linear,full,351,pca
10,0.744,0.7429233954451345,1878.8714127540588,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zzfeaturemap at 0x7fb54f30d430>,linear,linear,351,pca
11,0.708,0.7042885606320852,1910.2277138233185,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zzfeaturemap at 0x7fb54f30d430>,linear,circular,351,pca
12,0.76,0.7567138364779873,1906.5615265369415,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zzfeaturemap at 0x7fb54f30d430>,linear,pairwise,351,pca
13,0.628,0.6091810493584596,1948.8272867202759,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zzfeaturemap at 0x7fb54f30d430>,linear,sca,351,pca
14,0.656,0.6558018433179723,2469.904066324234,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zzfeaturemap at 0x7fb54f30d430>,circular,full,351,pca
15,0.772,0.7719376959058688,1881.9525873661041,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zzfeaturemap at 0x7fb54f30d430>,circular,linear,351,pca
16,0.716,0.7027370999846883,1953.9913878440857,<function get_efficientsu2 at 0x7fb548199ee0>,<function get_spsa at 0x7fb516eb29d0>,<function get_zzfeaturemap at 0x7fb54f30d430>,circular,circular,351,pca
