index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.892,0.8908279069767442,1767.9633424282074,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zfeaturemap at 0x7feb498d71f0>,full,,351,pca
1,0.868,0.8654732156106247,1632.7624759674072,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zfeaturemap at 0x7feb498d71f0>,linear,,351,pca
2,0.84,0.8344897959183672,1651.233281135559,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zfeaturemap at 0x7feb498d71f0>,circular,,351,pca
3,0.88,0.87858832756029,1650.040459394455,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zfeaturemap at 0x7feb498d71f0>,sca,,351,pca
4,0.736,0.730629680998613,2563.558775663376,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,full,full,351,pca
5,0.66,0.6542698827668985,2001.2858397960663,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,full,linear,351,pca
6,0.6,0.5849066774476114,2051.3285717964172,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,full,circular,351,pca
7,0.664,0.6593993710691822,2002.2947301864624,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,full,pairwise,351,pca
8,0.612,0.5992532207535475,2052.64448595047,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,full,sca,351,pca
9,0.588,0.5744647601816021,2446.5406959056854,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,linear,full,351,pca
10,0.752,0.7512310574252308,1877.7955129146576,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,linear,linear,351,pca
11,0.648,0.6335,1910.3809969425201,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,linear,circular,351,pca
12,0.76,0.7583636363636365,1879.9889271259308,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,linear,pairwise,351,pca
13,0.68,0.6762355401607738,1914.516886472702,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,linear,sca,351,pca
14,0.572,0.5551186646638876,2466.2314608097076,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,circular,full,351,pca
15,0.784,0.7830916149068323,1882.1459004878998,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,circular,linear,351,pca
16,0.664,0.6524285714285714,1959.9421570301056,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,circular,circular,351,pca
17,0.66,0.654998606077502,1916.2996952533722,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,circular,pairwise,351,pca
18,0.632,0.6215733333333334,1938.719089269638,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,circular,sca,351,pca
19,0.732,0.7315465605311074,2471.471444606781,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,sca,full,351,pca
20,0.62,0.6097758698148056,1895.5917055606842,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,sca,linear,351,pca
21,0.596,0.5929473017111101,1928.960417509079,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,sca,circular,351,pca
22,0.684,0.6715362103593189,1914.9582405090332,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,sca,pairwise,351,pca
23,0.656,0.6481383147853735,1989.594791173935,<function get_efficientsu2 at 0x7feb42761d30>,<function get_spsa at 0x7feb114e91f0>,<function get_zzfeaturemap at 0x7feb498d7280>,sca,sca,351,pca
