index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.892,0.8908279069767442,1831.0131776332855,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_spsa at 0x7f2d64c86940>,<function get_zfeaturemap at 0x7f2d9d0e13a0>,full,,351,pca
1,0.88,0.8781083743842365,1671.694546699524,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_spsa at 0x7f2d64c86940>,<function get_zfeaturemap at 0x7f2d9d0e13a0>,linear,,351,pca
2,0.844,0.8388750062823541,1664.3120481967926,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_spsa at 0x7f2d64c86940>,<function get_zfeaturemap at 0x7f2d9d0e13a0>,circular,,351,pca
3,0.732,0.7052004819190447,1674.9669749736786,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_spsa at 0x7f2d64c86940>,<function get_zfeaturemap at 0x7f2d9d0e13a0>,sca,,351,pca
4,0.808,0.8078888317035512,2616.250649213791,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_spsa at 0x7f2d64c86940>,<function get_zzfeaturemap at 0x7f2d9d0e1430>,full,full,351,pca
5,0.652,0.6468809262205023,2014.6569578647614,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_spsa at 0x7f2d64c86940>,<function get_zzfeaturemap at 0x7f2d9d0e1430>,full,linear,351,pca
6,0.624,0.6133466666666666,2067.141014099121,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_spsa at 0x7f2d64c86940>,<function get_zzfeaturemap at 0x7f2d9d0e1430>,full,circular,351,pca
7,0.68,0.6768075117370891,2020.2698111534119,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_spsa at 0x7f2d64c86940>,<function get_zzfeaturemap at 0x7f2d9d0e1430>,full,pairwise,351,pca
8,0.608,0.5957278747742323,2063.031660079956,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_spsa at 0x7f2d64c86940>,<function get_zzfeaturemap at 0x7f2d9d0e1430>,full,sca,351,pca
9,0.584,0.5603896532746284,2464.508226633072,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_spsa at 0x7f2d64c86940>,<function get_zzfeaturemap at 0x7f2d9d0e1430>,linear,full,351,pca
10,0.764,0.7625570314147164,1926.4199481010437,<function get_efficientsu2 at 0x7f2d95f6bee0>,<function get_spsa at 0x7f2d64c86940>,<function get_zzfeaturemap at 0x7f2d9d0e1430>,linear,linear,351,pca
