index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.504,0.46148269994327845,1813.1581494808197,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zfeaturemap at 0x7fee8f5c01f0>,full,,351,pca
1,0.468,0.46751199729638393,1691.6758708953857,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zfeaturemap at 0x7fee8f5c01f0>,linear,,351,pca
2,0.54,0.4882729242140139,1678.045473575592,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zfeaturemap at 0x7fee8f5c01f0>,circular,,351,pca
3,0.488,0.48641250565208966,1705.0307188034058,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zfeaturemap at 0x7fee8f5c01f0>,sca,,351,pca
4,0.552,0.5523441521029383,2603.60803771019,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,full,351,pca
5,0.532,0.5206902522764592,2052.945064306259,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,linear,351,pca
6,0.568,0.5681941448382126,2115.559242963791,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,circular,351,pca
7,0.52,0.5197235023041475,2062.8206419944763,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,pairwise,351,pca
8,0.588,0.5884156218475284,2096.8235518932343,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,full,sca,351,pca
9,0.528,0.5284538461538462,2484.270423412323,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,full,351,pca
10,0.508,0.5067217892239919,1903.016922712326,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,linear,351,pca
11,0.536,0.5364461538461538,1956.0912840366364,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,circular,351,pca
12,0.5,0.5005043954460296,1956.3685359954834,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,pairwise,351,pca
13,0.496,0.4965166250240246,1953.4487309455872,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,linear,sca,351,pca
14,0.548,0.5483985315570944,2517.088741540909,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,full,351,pca
15,0.54,0.5402870813397129,1908.0961883068085,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,linear,351,pca
16,0.532,0.5315731225296443,1949.8431096076965,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,circular,351,pca
17,0.552,0.5514228663446054,1900.5860352516174,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,pairwise,351,pca
18,0.524,0.5222690909090909,1953.5825238227844,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,circular,sca,351,pca
19,0.496,0.49493493852459014,2491.7393350601196,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,full,351,pca
20,0.508,0.4141604278074866,1915.2146909236908,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,linear,351,pca
21,0.516,0.5155560276155072,1935.5572214126587,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,circular,351,pca
22,0.492,0.49015272727272724,1910.8723104000092,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,pairwise,351,pca
23,0.508,0.5084331332533013,1932.4681441783905,<function get_efficientsu2 at 0x7fee8844bd30>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,sca,sca,351,pca
24,0.492,0.46423543543543544,1451.2252023220062,<function get_paulitwodesign at 0x7fee8f5c04c0>,<function get_spsa at 0x7fee571d31f0>,<function get_zfeaturemap at 0x7fee8f5c01f0>,,,351,pca
25,0.54,0.540404961984794,2264.9909765720367,<function get_paulitwodesign at 0x7fee8f5c04c0>,<function get_spsa at 0x7fee571d31f0>,<function get_zzfeaturemap at 0x7fee8f5c0280>,,full,351,pca
