index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.508,0.39432328767123287,1816.7335484027863,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zfeaturemap at 0x7fdf575941f0>,full,,351,pca
1,0.568,0.5636901408450703,1663.2611649036407,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zfeaturemap at 0x7fdf575941f0>,linear,,351,pca
2,0.552,0.4971529411764707,1667.875182390213,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zfeaturemap at 0x7fdf575941f0>,circular,,351,pca
3,0.52,0.4984855687606112,1662.6502718925476,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zfeaturemap at 0x7fdf575941f0>,sca,,351,pca
4,0.524,0.5227728619237483,2585.5302731990814,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,full,full,351,pca
5,0.532,0.5135409697726621,2011.8099105358124,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,full,linear,351,pca
6,0.52,0.5189783281733746,2115.64488863945,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,full,circular,351,pca
7,0.5,0.4975959592689126,2066.663715362549,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,full,pairwise,351,pca
8,0.564,0.5644400583155771,2080.383267879486,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,full,sca,351,pca
9,0.552,0.5517406073082861,2520.2761628627777,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,full,351,pca
10,0.516,0.5136728885723073,1900.5306477546692,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,linear,351,pca
11,0.44,0.4392830164522118,1930.4746179580688,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,circular,351,pca
12,0.472,0.47254122621564476,1907.346739768982,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,pairwise,351,pca
13,0.532,0.53241263886885,1931.70929312706,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,linear,sca,351,pca
14,0.556,0.5562770959018098,2519.5494599342346,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,circular,full,351,pca
15,0.572,0.55034808904683,1907.4352543354034,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,circular,linear,351,pca
16,0.52,0.52,1980.8204410076141,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,circular,circular,351,pca
17,0.476,0.4758574697195155,1934.2449390888214,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,circular,pairwise,351,pca
18,0.488,0.4884918032786885,1953.7002491950989,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,circular,sca,351,pca
19,0.504,0.5037142857142857,2487.8074729442596,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,sca,full,351,pca
20,0.52,0.5179813664596273,1911.222591161728,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,sca,linear,351,pca
21,0.492,0.4901688267995322,1932.211676120758,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,sca,circular,351,pca
22,0.56,0.48960000000000004,1915.2513463497162,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,sca,pairwise,351,pca
23,0.492,0.4906802213938778,1933.607171535492,<function get_efficientsu2 at 0x7fdf5041ed30>,<function get_spsa at 0x7fdf1f1a41f0>,<function get_zzfeaturemap at 0x7fdf57594280>,sca,sca,351,pca
