index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.484,0.45131824243578855,1770.5310249328613,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_spsa at 0x7f0a576139d0>,<function get_zfeaturemap at 0x7f0a8fa6e3a0>,full,,351,pca
1,0.532,0.5001940166031431,1644.302327156067,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_spsa at 0x7f0a576139d0>,<function get_zfeaturemap at 0x7f0a8fa6e3a0>,linear,,351,pca
2,0.52,0.4862335124572545,1654.8246257305145,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_spsa at 0x7f0a576139d0>,<function get_zfeaturemap at 0x7f0a8fa6e3a0>,circular,,351,pca
3,0.516,0.5000993784657654,1650.90407204628,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_spsa at 0x7f0a576139d0>,<function get_zfeaturemap at 0x7f0a8fa6e3a0>,sca,,351,pca
4,0.504,0.5039999999999999,2570.6542842388153,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_spsa at 0x7f0a576139d0>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,full,full,351,pca
5,0.504,0.49266454689984096,2004.5331354141235,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_spsa at 0x7f0a576139d0>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,full,linear,351,pca
6,0.512,0.5124692307692309,2042.9566068649292,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_spsa at 0x7f0a576139d0>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,full,circular,351,pca
7,0.496,0.47864285714285715,2000.464723110199,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_spsa at 0x7f0a576139d0>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,full,pairwise,351,pca
8,0.552,0.552,2048.2447378635406,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_spsa at 0x7f0a576139d0>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,full,sca,351,pca
9,0.512,0.5123756494964398,2436.374852657318,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_spsa at 0x7f0a576139d0>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,linear,full,351,pca
10,0.456,0.45484210526315794,1882.9274389743805,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_spsa at 0x7f0a576139d0>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,linear,linear,351,pca
11,0.544,0.5437359752959341,1908.8152012825012,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_spsa at 0x7f0a576139d0>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,linear,circular,351,pca
12,0.436,0.43649728273938343,1886.7314114570618,<function get_efficientsu2 at 0x7f0a888faee0>,<function get_spsa at 0x7f0a576139d0>,<function get_zzfeaturemap at 0x7f0a8fa6e430>,linear,pairwise,351,pca
