index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.892,0.8908279069767442,9214.265739440918,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zfeaturemap at 0x7f7e1c5883a0>,full,,250,pca
1,0.864,0.8608918918918919,7402.958860874176,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zfeaturemap at 0x7f7e1c5883a0>,linear,,227,pca
2,0.86,0.8562332151949283,8199.882874965668,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zfeaturemap at 0x7f7e1c5883a0>,circular,,250,pca
3,0.864,0.8612334720295884,8174.439320087433,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zfeaturemap at 0x7f7e1c5883a0>,sca,,250,pca
4,0.532,0.5312134453781513,11262.314626455307,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,full,202,pca
5,0.672,0.6687276995305165,8678.515029907227,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,linear,187,pca
6,0.612,0.5992532207535475,11695.128770112991,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,circular,250,pca
7,0.668,0.6637801442803161,11597.415884971619,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,pairwise,250,pca
8,0.596,0.5872820173625464,11698.883348226547,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,sca,250,pca
9,0.744,0.7381494435612083,12874.707001686096,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zzfeaturemap at 0x7f7e1c588430>,linear,full,250,pca
10,0.736,0.7338012883076321,10378.379742383957,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zzfeaturemap at 0x7f7e1c588430>,linear,linear,246,pca
11,0.628,0.6239627906976745,10640.976837396622,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zzfeaturemap at 0x7f7e1c588430>,linear,circular,250,pca
12,0.772,0.7720549177037334,10550.386814594269,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zzfeaturemap at 0x7f7e1c588430>,linear,pairwise,250,pca
13,0.62,0.606295081967213,10303.583701133728,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zzfeaturemap at 0x7f7e1c588430>,linear,sca,242,pca
14,0.52,0.5197235023041475,9320.384833574295,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zzfeaturemap at 0x7f7e1c588430>,circular,full,180,pca
15,0.716,0.7112136667817622,10601.193181991577,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zzfeaturemap at 0x7f7e1c588430>,circular,linear,250,pca
16,0.72,0.716166142557652,10724.766810655594,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zzfeaturemap at 0x7f7e1c588430>,circular,circular,250,pca
17,0.72,0.7063857064920894,10590.763345479965,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_cobyla at 0x7f7de412d8b0>,<function get_zzfeaturemap at 0x7f7e1c588430>,circular,pairwise,250,pca
