index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.516,0.45163863252307296,6027.897969722748,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zfeaturemap at 0x7fc4d6f623a0>,full,,163,pca
1,0.536,0.5152027164685907,7820.370143413544,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zfeaturemap at 0x7fc4d6f623a0>,linear,,239,pca
2,0.496,0.4527969370391379,5209.2706434726715,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zfeaturemap at 0x7fc4d6f623a0>,circular,,158,pca
3,0.504,0.4398199718706048,6407.740088224411,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zfeaturemap at 0x7fc4d6f623a0>,sca,,195,pca
4,0.496,0.49389999999999995,9056.022827863693,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,full,162,pca
5,0.548,0.5430945736434108,11207.451470375061,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,linear,241,pca
6,0.556,0.5563914779012168,10839.986344575882,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,circular,231,pca
7,0.512,0.5053181341719077,9573.52133178711,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,pairwise,206,pca
8,0.56,0.5604230769230769,7751.530759811401,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,sca,165,pca
9,0.524,0.5211209831384063,11147.399599313736,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,linear,full,216,pca
10,0.52,0.5202157164869029,10593.389757871628,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,linear,linear,250,pca
11,0.528,0.528,7369.6249215602875,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,linear,circular,172,pca
12,0.456,0.4564187568157033,10612.961166858673,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,linear,pairwise,250,pca
13,0.508,0.5083078404004427,8978.576684951782,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,linear,sca,210,pca
14,0.484,0.4843228570053425,12187.526675462723,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,circular,full,235,pca
15,0.46,0.459086353308948,9598.981109142303,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,circular,linear,226,pca
16,0.524,0.524297066777616,9517.170662403107,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,circular,circular,222,pca
17,0.54,0.5395804195804195,8557.001214265823,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,circular,pairwise,202,pca
18,0.488,0.486425523736306,10749.239644765854,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,circular,sca,250,pca
19,0.54,0.5404055852129723,11773.437006473541,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,sca,full,227,pca
20,0.484,0.4844549608041167,6943.627921104431,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,sca,linear,163,pca
21,0.528,0.528,7638.902888536453,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,sca,circular,178,pca
22,0.476,0.4764620144599946,8330.533745288849,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,sca,pairwise,196,pca
23,0.464,0.464,10100.59083724022,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,sca,sca,236,pca
24,0.496,0.46739515685195376,4493.978975057602,<function get_paulitwodesign at 0x7fc4d6f62670>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zfeaturemap at 0x7fc4d6f623a0>,,,121,pca
25,0.536,0.5334997754827121,6154.196959257126,<function get_paulitwodesign at 0x7fc4d6f62670>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,,full,110,pca
26,0.472,0.4725076923076923,5536.650650262833,<function get_paulitwodesign at 0x7fc4d6f62670>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,,linear,118,pca
27,0.496,0.495708183221822,5551.963482618332,<function get_paulitwodesign at 0x7fc4d6f62670>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,,circular,118,pca
28,0.468,0.46751199729638393,6047.279403686523,<function get_paulitwodesign at 0x7fc4d6f62670>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,,pairwise,129,pca
29,0.568,0.5684428214491638,5932.281472444534,<function get_paulitwodesign at 0x7fc4d6f62670>,<function get_cobyla at 0x7fc49eb068b0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,,sca,126,pca
