index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.496,0.46739515685195376,9943.136028289795,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zfeaturemap at 0x7f314e7a63a0>,full,,249,pca
1,0.588,0.5827633115767777,9129.901171684265,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zfeaturemap at 0x7f314e7a63a0>,linear,,250,pca
2,0.552,0.4907906976744185,6489.139990329742,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zfeaturemap at 0x7f314e7a63a0>,circular,,185,pca
3,0.5,0.45848579660957034,7575.20630812645,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zfeaturemap at 0x7f314e7a63a0>,sca,,209,pca
4,0.584,0.5822666666666666,12763.255031108856,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,full,210,pca
5,0.46,0.46033787361024214,9361.613403081894,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,linear,180,pca
6,0.524,0.5235633660020276,8623.484361886978,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,circular,171,pca
7,0.48,0.4778131469979296,8418.252728939056,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,pairwise,163,pca
8,0.548,0.5478770540328647,8354.142922639847,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,sca,165,pca
9,0.54,0.5365652348454437,11929.6425075531,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,full,208,pca
10,0.456,0.4556850231600618,9721.270317077637,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,linear,213,pca
11,0.528,0.5282121212121212,7946.726116657257,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,circular,169,pca
12,0.516,0.5098481621435933,11464.196834087372,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,pairwise,250,pca
13,0.524,0.5238699265403224,11627.025856256485,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,sca,244,pca
14,0.536,0.5364456967213114,11591.144608259201,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,full,206,pca
15,0.544,0.5443510167425749,8331.430818796158,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,linear,178,pca
16,0.492,0.492447218887555,9298.2961435318,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,circular,201,pca
17,0.524,0.5235633660020276,9729.4191031456,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,pairwise,208,pca
18,0.484,0.48452053610030266,9835.60040974617,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,sca,212,pca
19,0.536,0.5354059279175469,10650.393965005875,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,sca,full,186,pca
20,0.496,0.4963871711158056,9018.768564224243,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,sca,linear,197,pca
21,0.484,0.483526674069425,11954.14683675766,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,sca,circular,250,pca
22,0.484,0.48151902996551776,7715.749495983124,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,sca,pairwise,169,pca
23,0.464,0.46111180960933995,9833.76398730278,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,sca,sca,207,pca
24,0.512,0.4995478769353446,4950.062361717224,<function get_paulitwodesign at 0x7f314e7a6670>,<function get_cobyla at 0x7f311634a8b0>,<function get_zfeaturemap at 0x7f314e7a63a0>,,,123,pca
25,0.536,0.5350194672131147,5028.194343805313,<function get_paulitwodesign at 0x7f314e7a6670>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,,full,83,pca
26,0.488,0.48849230769230767,6509.9801025390625,<function get_paulitwodesign at 0x7f314e7a6670>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,,linear,130,pca
27,0.532,0.5307934860930971,6247.05473947525,<function get_paulitwodesign at 0x7f314e7a6670>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,,circular,120,pca
28,0.436,0.43613584905660385,6189.54513001442,<function get_paulitwodesign at 0x7f314e7a6670>,<function get_cobyla at 0x7f311634a8b0>,<function get_zzfeaturemap at 0x7f314e7a6430>,,pairwise,124,pca
