index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.132,0.13254310054387064,17662.250980615616,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zfeaturemap at 0x7f7e1c5883a0>,full,,477,pca
1,0.312,0.2566921937804104,12202.893106937408,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zfeaturemap at 0x7f7e1c5883a0>,linear,,373,pca
2,0.484,0.3566414764448761,12070.417055606842,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zfeaturemap at 0x7f7e1c5883a0>,circular,,368,pca
3,0.516,0.4093236009732359,17571.118926763535,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zfeaturemap at 0x7f7e1c5883a0>,sca,,535,pca
4,0.436,0.4103996692848284,26824.790808916092,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,full,480,pca
5,0.584,0.5653541595925297,17157.041687726974,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,linear,369,pca
6,0.424,0.4150703442930044,25238.441069841385,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,circular,539,pca
7,0.564,0.5468031256856425,22554.461471557617,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,pairwise,486,pca
8,0.444,0.43354985349112046,23147.958067893982,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,sca,494,pca
9,0.476,0.4765286064274391,27513.579073667526,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,linear,full,534,pca
10,0.524,0.4959623519677303,22877.06027841568,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,linear,linear,542,pca
11,0.4,0.39673342407155354,25417.999250650406,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,linear,circular,597,pca
12,0.54,0.504210989010989,20090.444926023483,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,linear,pairwise,476,pca
13,0.34,0.3368575963064493,25293.71370625496,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,linear,sca,594,pca
14,0.484,0.4841242874347651,25307.184737443924,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,circular,full,489,pca
15,0.484,0.48385964575433205,27852.10367846489,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,circular,linear,657,pca
16,0.464,0.464514856557377,20708.539093017578,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,circular,circular,484,pca
17,0.552,0.5482688528856791,25207.028351306915,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,circular,pairwise,595,pca
18,0.444,0.4308361201839484,18288.51532435417,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,circular,sca,428,pca
19,0.464,0.4623517201614453,24953.49295592308,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,sca,full,483,pca
20,0.536,0.5363571749310412,22719.243078947067,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,sca,linear,537,pca
21,0.54,0.5402878182605766,28007.65847492218,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,sca,circular,656,pca
22,0.488,0.4885248254212313,25126.027686357498,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,sca,pairwise,593,pca
23,0.52,0.5173867392572428,23194.938682556152,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,sca,sca,542,pca
24,0.436,0.28418941504178274,6167.085417747498,<function get_paulitwodesign at 0x7f7e1c588670>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zfeaturemap at 0x7f7e1c5883a0>,,,166,pca
25,0.528,0.5273956852954357,24910.737413406372,<function get_paulitwodesign at 0x7f7e1c588670>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,,full,445,pca
26,0.636,0.6332495490664456,21428.15247273445,<function get_paulitwodesign at 0x7f7e1c588670>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,,linear,460,pca
27,0.364,0.341628035881205,17428.468344688416,<function get_paulitwodesign at 0x7f7e1c588670>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,,circular,371,pca
28,0.548,0.5422548952250086,17825.996994018555,<function get_paulitwodesign at 0x7f7e1c588670>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,,pairwise,383,pca
29,0.368,0.3676359447004608,20205.25452208519,<function get_paulitwodesign at 0x7f7e1c588670>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,,sca,431,pca
30,0.284,0.23865089454268343,5663.501974582672,<function get_realamplitudes at 0x7f7e15987160>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zfeaturemap at 0x7f7e1c5883a0>,full,,167,pca
31,0.24,0.20869318181818178,11106.859937667847,<function get_realamplitudes at 0x7f7e15987160>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zfeaturemap at 0x7f7e1c5883a0>,linear,,376,pca
32,0.416,0.4043419534642556,10998.077480077744,<function get_realamplitudes at 0x7f7e15987160>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zfeaturemap at 0x7f7e1c5883a0>,circular,,371,pca
33,0.516,0.39327532634104967,12269.82209777832,<function get_realamplitudes at 0x7f7e15987160>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zfeaturemap at 0x7f7e1c5883a0>,sca,,414,pca
34,0.384,0.3826982581967213,23122.801632642746,<function get_realamplitudes at 0x7f7e15987160>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,full,438,pca
35,0.584,0.5709765201685731,17881.276434659958,<function get_realamplitudes at 0x7f7e15987160>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,linear,412,pca
36,0.372,0.36413722425433864,18015.82417678833,<function get_realamplitudes at 0x7f7e15987160>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,circular,411,pca
37,0.588,0.5687594549073649,19948.788200616837,<function get_realamplitudes at 0x7f7e15987160>,<function get_neldermead at 0x7f7de412d9d0>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,pairwise,459,pca
