index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.464,0.46034545454545456,17732.060646295547,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_neldermead at 0x7fc49eb069d0>,<function get_zfeaturemap at 0x7fc4d6f623a0>,full,,479,pca
1,0.452,0.4521319951826575,15570.117029428482,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_neldermead at 0x7fc49eb069d0>,<function get_zfeaturemap at 0x7fc4d6f623a0>,linear,,476,pca
2,0.496,0.4963879658733723,17704.651610851288,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_neldermead at 0x7fc49eb069d0>,<function get_zfeaturemap at 0x7fc4d6f623a0>,circular,,539,pca
3,0.524,0.5217113532240049,16152.776551485062,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_neldermead at 0x7fc49eb069d0>,<function get_zfeaturemap at 0x7fc4d6f623a0>,sca,,492,pca
4,0.488,0.48800000000000004,26786.7289083004,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_neldermead at 0x7fc49eb069d0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,full,479,pca
5,0.524,0.516998048508503,25223.238380908966,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_neldermead at 0x7fc49eb069d0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,linear,542,pca
6,0.536,0.5357313432835821,20309.66357254982,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_neldermead at 0x7fc49eb069d0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,circular,432,pca
7,0.512,0.5086727272727274,22899.1928730011,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_neldermead at 0x7fc49eb069d0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,pairwise,491,pca
8,0.584,0.584,25916.350093603134,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_neldermead at 0x7fc49eb069d0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,sca,551,pca
9,0.54,0.5383418510389465,27805.583943605423,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_neldermead at 0x7fc49eb069d0>,<function get_zzfeaturemap at 0x7fc4d6f62430>,linear,full,537,pca
