index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.46,0.4496631547707375,18253.921387910843,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zfeaturemap at 0x7f314e7a63a0>,full,,479,pca
1,0.524,0.4869661538461538,17870.928483724594,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zfeaturemap at 0x7f314e7a63a0>,linear,,544,pca
2,0.508,0.5078655543231904,14765.211090803146,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zfeaturemap at 0x7f314e7a63a0>,circular,,434,pca
3,0.528,0.5146266666666667,15904.622643232346,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zfeaturemap at 0x7f314e7a63a0>,sca,,484,pca
4,0.52,0.5189856557377049,31169.894005298615,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,full,547,pca
5,0.5,0.4987010053089348,24899.01783967018,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,linear,534,pca
6,0.572,0.5712758504004253,23435.736598968506,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,circular,488,pca
7,0.524,0.5188341085271317,25191.714095830917,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,pairwise,541,pca
8,0.548,0.5475877166311948,26115.187110185623,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,sca,545,pca
9,0.508,0.5056574808829895,24860.429608106613,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,full,480,pca
10,0.532,0.5251157283655028,21027.42810511589,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,linear,485,pca
11,0.532,0.5315707043885481,20821.377982854843,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,circular,486,pca
12,0.492,0.4921223604977921,25649.47380757332,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,pairwise,594,pca
13,0.556,0.5561065617049873,20706.738779067993,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,sca,484,pca
14,0.516,0.5161165796868726,31488.672179460526,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,full,597,pca
15,0.52,0.5204610655737704,22718.20826768875,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,linear,535,pca
16,0.484,0.48452080296063704,23694.426416873932,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,circular,541,pca
17,0.52,0.5202157164869029,22821.194133996964,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,pairwise,538,pca
18,0.472,0.4725076923076923,23814.24123954773,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,sca,543,pca
19,0.524,0.524297066777616,27934.17004609108,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,sca,full,539,pca
20,0.468,0.46785462378036047,21238.094259262085,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,sca,linear,489,pca
21,0.46,0.46054502635415495,23178.346900701523,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_neldermead at 0x7f311634a9d0>,<function get_zzfeaturemap at 0x7f314e7a6430>,sca,circular,541,pca
