index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.884,0.8822936420735008,7439.822909832001,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_spsa at 0x7f7de412d940>,<function get_zfeaturemap at 0x7f7e1c5883a0>,full,,201,pca
1,0.876,0.8736263540584656,6580.953841209412,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_spsa at 0x7f7de412d940>,<function get_zfeaturemap at 0x7f7e1c5883a0>,linear,,201,pca
2,0.86,0.8579406025025008,6599.267673492432,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_spsa at 0x7f7de412d940>,<function get_zfeaturemap at 0x7f7e1c5883a0>,circular,,201,pca
3,0.784,0.7698250000000001,6586.730441570282,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_spsa at 0x7f7de412d940>,<function get_zfeaturemap at 0x7f7e1c5883a0>,sca,,201,pca
4,0.608,0.6026325995807128,11206.710911273956,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_spsa at 0x7f7de412d940>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,full,201,pca
5,0.668,0.6643968992248063,9318.716820955276,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_spsa at 0x7f7de412d940>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,linear,201,pca
6,0.6,0.5897933417502825,9405.689154148102,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_spsa at 0x7f7de412d940>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,circular,201,pca
7,0.672,0.6681414286647932,9324.707577943802,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_spsa at 0x7f7de412d940>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,pairwise,201,pca
8,0.64,0.6287296809151114,9408.620516061783,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_spsa at 0x7f7de412d940>,<function get_zzfeaturemap at 0x7f7e1c588430>,full,sca,201,pca
9,0.604,0.5897180327868853,10347.776259183884,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_spsa at 0x7f7de412d940>,<function get_zzfeaturemap at 0x7f7e1c588430>,linear,full,201,pca
10,0.72,0.7196392914653784,8469.122006177902,<function get_efficientsu2 at 0x7f7e15412ee0>,<function get_spsa at 0x7f7de412d940>,<function get_zzfeaturemap at 0x7f7e1c588430>,linear,linear,201,pca
