index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.524,0.4458635155547907,7450.867068052292,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_spsa at 0x7fc49eb06940>,<function get_zfeaturemap at 0x7fc4d6f623a0>,full,,201,pca
1,0.512,0.5104869194496479,6583.502928733826,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_spsa at 0x7fc49eb06940>,<function get_zfeaturemap at 0x7fc4d6f623a0>,linear,,201,pca
2,0.548,0.4845636278634876,6598.1540858745575,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_spsa at 0x7fc49eb06940>,<function get_zfeaturemap at 0x7fc4d6f623a0>,circular,,201,pca
3,0.552,0.5182805836139168,6602.631457328796,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_spsa at 0x7fc49eb06940>,<function get_zfeaturemap at 0x7fc4d6f623a0>,sca,,201,pca
4,0.484,0.48313277310924374,11254.214685201645,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_spsa at 0x7fc49eb06940>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,full,201,pca
5,0.488,0.4858467908902691,9363.383334875107,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_spsa at 0x7fc49eb06940>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,linear,201,pca
6,0.556,0.5562770959018098,9454.821458101273,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_spsa at 0x7fc49eb06940>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,circular,201,pca
7,0.492,0.4918611821060585,9363.061984539032,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_spsa at 0x7fc49eb06940>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,pairwise,201,pca
8,0.556,0.5562770959018098,9445.17414855957,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_spsa at 0x7fc49eb06940>,<function get_zzfeaturemap at 0x7fc4d6f62430>,full,sca,201,pca
9,0.564,0.5643838335334134,10381.144526004791,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_spsa at 0x7fc49eb06940>,<function get_zzfeaturemap at 0x7fc4d6f62430>,linear,full,201,pca
10,0.476,0.4764620144599946,8513.627740859985,<function get_efficientsu2 at 0x7fc4cfdecee0>,<function get_spsa at 0x7fc49eb06940>,<function get_zzfeaturemap at 0x7fc4d6f62430>,linear,linear,201,pca
