index,accuracy,f1,time,ansatz,optimizer,featuremap,entanglement,entanglement_featuremap,iterations,preprocessing
0,0.46,0.43678747521984446,7664.239764451981,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zfeaturemap at 0x7f314e7a63a0>,full,,201,pca
1,0.488,0.4412720142602496,7243.36066865921,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zfeaturemap at 0x7f314e7a63a0>,linear,,201,pca
2,0.496,0.4409390243902439,6759.514179944992,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zfeaturemap at 0x7f314e7a63a0>,circular,,201,pca
3,0.572,0.5467896778197238,7256.110150337219,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zfeaturemap at 0x7f314e7a63a0>,sca,,201,pca
4,0.52,0.5193854426733244,11884.313707828522,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,full,201,pca
5,0.54,0.5322474884493333,10283.74101805687,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,linear,201,pca
6,0.536,0.5364461538461538,9951.52765250206,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,circular,201,pca
7,0.58,0.574661628306424,10471.338608980179,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,pairwise,201,pca
8,0.568,0.5684428214491638,9929.474294424057,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,sca,201,pca
9,0.532,0.5324120048019209,11599.703487873077,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,full,201,pca
10,0.484,0.48151902996551776,8878.105156421661,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,linear,201,pca
11,0.524,0.5238699265403224,9615.42256808281,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,circular,201,pca
12,0.472,0.472,8888.060645103455,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,pairwise,201,pca
13,0.544,0.5442049306625578,9599.617208003998,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,sca,201,pca
14,0.44,0.4388165983606557,10978.92364525795,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,full,201,pca
15,0.5,0.5005043954460296,9387.096068143845,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,linear,201,pca
16,0.504,0.5037142857142857,9020.720042943954,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,circular,201,pca
17,0.484,0.4841242874347651,9525.109095096588,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,pairwise,201,pca
18,0.508,0.5084963251188931,8974.713923692703,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,circular,sca,201,pca
19,0.556,0.5558792300676809,11463.954001188278,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,sca,full,201,pca
20,0.516,0.5161161618585898,8912.93002152443,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,sca,linear,201,pca
21,0.52,0.5185117240488342,9580.096462726593,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,sca,circular,201,pca
22,0.48,0.48039946226233915,8891.221704483032,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,sca,pairwise,201,pca
23,0.52,0.5179813664596273,9481.815480947495,<function get_efficientsu2 at 0x7f3147630ee0>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,sca,sca,201,pca
24,0.488,0.44946352413019075,7702.2364184856415,<function get_paulitwodesign at 0x7f314e7a6670>,<function get_spsa at 0x7f311634a940>,<function get_zfeaturemap at 0x7f314e7a63a0>,,,201,pca
25,0.532,0.5318727019632313,12569.74754858017,<function get_paulitwodesign at 0x7f314e7a6670>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,,full,201,pca
26,0.504,0.5044764344262295,9856.76724433899,<function get_paulitwodesign at 0x7f314e7a6670>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,,linear,201,pca
27,0.584,0.5843995901639345,10535.416503429413,<function get_paulitwodesign at 0x7f314e7a6670>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,,circular,201,pca
28,0.44,0.4392830164522118,9814.825026035309,<function get_paulitwodesign at 0x7f314e7a6670>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,,pairwise,201,pca
29,0.508,0.5083078404004427,10389.760795116425,<function get_paulitwodesign at 0x7f314e7a6670>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,,sca,201,pca
30,0.544,0.47827520456422185,7015.227078199387,<function get_realamplitudes at 0x7f3147ba6160>,<function get_spsa at 0x7f311634a940>,<function get_zfeaturemap at 0x7f314e7a63a0>,full,,201,pca
31,0.524,0.49991983735114726,6664.870480060577,<function get_realamplitudes at 0x7f3147ba6160>,<function get_spsa at 0x7f311634a940>,<function get_zfeaturemap at 0x7f314e7a63a0>,linear,,201,pca
32,0.52,0.49067385444743933,6687.364558696747,<function get_realamplitudes at 0x7f3147ba6160>,<function get_spsa at 0x7f311634a940>,<function get_zfeaturemap at 0x7f314e7a63a0>,circular,,201,pca
33,0.54,0.4882729242140139,6733.343275547028,<function get_realamplitudes at 0x7f3147ba6160>,<function get_spsa at 0x7f311634a940>,<function get_zfeaturemap at 0x7f314e7a63a0>,sca,,201,pca
34,0.576,0.5751039959016393,11700.809994459152,<function get_realamplitudes at 0x7f3147ba6160>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,full,201,pca
35,0.54,0.504210989010989,9658.201405763626,<function get_realamplitudes at 0x7f3147ba6160>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,linear,201,pca
36,0.56,0.56,9693.909478187561,<function get_realamplitudes at 0x7f3147ba6160>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,circular,201,pca
37,0.524,0.3792937827521512,9642.479089021683,<function get_realamplitudes at 0x7f3147ba6160>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,pairwise,201,pca
38,0.584,0.5844264206547505,9686.106329917908,<function get_realamplitudes at 0x7f3147ba6160>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,full,sca,201,pca
39,0.564,0.5628759827704921,10794.411379098892,<function get_realamplitudes at 0x7f3147ba6160>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,full,201,pca
40,0.536,0.5345613332472062,8820.523178100586,<function get_realamplitudes at 0x7f3147ba6160>,<function get_spsa at 0x7f311634a940>,<function get_zzfeaturemap at 0x7f314e7a6430>,linear,linear,201,pca
